,Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
8930,1956,Melbourne / Stockholm,Aquatics,Swimming,"DEVITT, John",AUS,Men,100M Freestyle,Silver
8934,1956,Melbourne / Stockholm,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,1500M Freestyle,Bronze
8935,1956,Melbourne / Stockholm,Aquatics,Swimming,"ROSE, Murray",AUS,Men,1500M Freestyle,Gold
8936,1956,Melbourne / Stockholm,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,1500M Freestyle,Silver
8937,1956,Melbourne / Stockholm,Aquatics,Swimming,"YUNICHEV, Kharis",URS,Men,200M Breaststroke,Bronze
8938,1956,Melbourne / Stockholm,Aquatics,Swimming,"FURUKAWA, Masaru",JPN,Men,200M Breaststroke,Gold
8939,1956,Melbourne / Stockholm,Aquatics,Swimming,"YOSHIMURA, Masahiro",JPN,Men,200M Breaststroke,Silver
8943,1956,Melbourne / Stockholm,Aquatics,Swimming,"TUMPEK, György",HUN,Men,200M Butterfly,Bronze
8944,1956,Melbourne / Stockholm,Aquatics,Swimming,"YORZYK, William Albert Jr.",USA,Men,200M Butterfly,Gold
8945,1956,Melbourne / Stockholm,Aquatics,Swimming,"ISHIMOTO, Takashi",JPN,Men,200M Butterfly,Silver
8946,1956,Melbourne / Stockholm,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,400M Freestyle,Bronze
8947,1956,Melbourne / Stockholm,Aquatics,Swimming,"ROSE, Murray",AUS,Men,400M Freestyle,Gold
8948,1956,Melbourne / Stockholm,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",JPN,Men,400M Freestyle,Silver
8964,1956,Melbourne / Stockholm,Aquatics,Swimming,"NIKITIN, Boris",URS,Men,4X200M Freestyle Relay,Bronze
8965,1956,Melbourne / Stockholm,Aquatics,Swimming,"NIKOLAEV, Gennadi",URS,Men,4X200M Freestyle Relay,Bronze
8966,1956,Melbourne / Stockholm,Aquatics,Swimming,"SOROKIN, Vitali",URS,Men,4X200M Freestyle Relay,Bronze
8967,1956,Melbourne / Stockholm,Aquatics,Swimming,"STRUZHANOV, Vladimir",URS,Men,4X200M Freestyle Relay,Bronze
8968,1956,Melbourne / Stockholm,Aquatics,Swimming,"DEVITT, John",AUS,Men,4X200M Freestyle Relay,Gold
8969,1956,Melbourne / Stockholm,Aquatics,Swimming,"HENRICKS, Jon Malcolm",AUS,Men,4X200M Freestyle Relay,Gold
8970,1956,Melbourne / Stockholm,Aquatics,Swimming,"O'HALLORAN, Kevin",AUS,Men,4X200M Freestyle Relay,Gold
8971,1956,Melbourne / Stockholm,Aquatics,Swimming,"ROSE, Murray",AUS,Men,4X200M Freestyle Relay,Gold
8972,1956,Melbourne / Stockholm,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,4X200M Freestyle Relay,Silver
8973,1956,Melbourne / Stockholm,Aquatics,Swimming,"HANLEY, Richard Dennis",USA,Men,4X200M Freestyle Relay,Silver
8974,1956,Melbourne / Stockholm,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,4X200M Freestyle Relay,Silver
8975,1956,Melbourne / Stockholm,Aquatics,Swimming,"WOOLSEY, William Tripp",USA,Men,4X200M Freestyle Relay,Silver
8976,1956,Melbourne / Stockholm,Aquatics,Water polo,"AGEEV, Viktor",URS,Men,Water Polo,Bronze
8977,1956,Melbourne / Stockholm,Aquatics,Water polo,"BREUS, Pyotr",URS,Men,Water Polo,Bronze
8978,1956,Melbourne / Stockholm,Aquatics,Water polo,"GOIKHMAN, Boris",URS,Men,Water Polo,Bronze
8979,1956,Melbourne / Stockholm,Aquatics,Water polo,"GVAKHARIYA, Nodar",URS,Men,Water Polo,Bronze
8980,1956,Melbourne / Stockholm,Aquatics,Water polo,"KURENNOI, Vyacheslav",URS,Men,Water Polo,Bronze
8981,1956,Melbourne / Stockholm,Aquatics,Water polo,"MARKAROV, Boris",URS,Men,Water Polo,Bronze
8982,1956,Melbourne / Stockholm,Aquatics,Water polo,"MSHVENIERADZE, Pyotr",URS,Men,Water Polo,Bronze
8983,1956,Melbourne / Stockholm,Aquatics,Water polo,"PROKOPOV, Valentin",URS,Men,Water Polo,Bronze
8984,1956,Melbourne / Stockholm,Aquatics,Water polo,"RYZHAK, Mikhail",URS,Men,Water Polo,Bronze
8985,1956,Melbourne / Stockholm,Aquatics,Water polo,"SHLYAPIN, Yuri",URS,Men,Water Polo,Bronze
8986,1956,Melbourne / Stockholm,Aquatics,Water polo,"BOLVARI, Antal",HUN,Men,Water Polo,Gold
8987,1956,Melbourne / Stockholm,Aquatics,Water polo,"BOROS, Otto",HUN,Men,Water Polo,Gold
8988,1956,Melbourne / Stockholm,Aquatics,Water polo,"GYARMATI, Dezso",HUN,Men,Water Polo,Gold
8989,1956,Melbourne / Stockholm,Aquatics,Water polo,"HEVESI, Istvan",HUN,Men,Water Polo,Gold
8990,1956,Melbourne / Stockholm,Aquatics,Water polo,"JENEI, Laszlo",HUN,Men,Water Polo,Gold
8991,1956,Melbourne / Stockholm,Aquatics,Water polo,"KANIZSA, Tivadar",HUN,Men,Water Polo,Gold
8992,1956,Melbourne / Stockholm,Aquatics,Water polo,"KARPATI, György",HUN,Men,Water Polo,Gold
8993,1956,Melbourne / Stockholm,Aquatics,Water polo,"MARKOVICS, Kalman",HUN,Men,Water Polo,Gold
8994,1956,Melbourne / Stockholm,Aquatics,Water polo,"MAYER, Mihaly",HUN,Men,Water Polo,Gold
8995,1956,Melbourne / Stockholm,Aquatics,Water polo,"SZIVOS, Istvan",HUN,Men,Water Polo,Gold
8996,1956,Melbourne / Stockholm,Aquatics,Water polo,"ZADOR, Ervin",HUN,Men,Water Polo,Gold
8997,1956,Melbourne / Stockholm,Aquatics,Water polo,"CIPCI, Ivo",YUG,Men,Water Polo,Silver
8998,1956,Melbourne / Stockholm,Aquatics,Water polo,"FRANJKOVIC, Tomislav",YUG,Men,Water Polo,Silver
8999,1956,Melbourne / Stockholm,Aquatics,Water polo,"IVKOVIC, Vladimir",YUG,Men,Water Polo,Silver
9000,1956,Melbourne / Stockholm,Aquatics,Water polo,"JEZIC, Zdravko",YUG,Men,Water Polo,Silver
9001,1956,Melbourne / Stockholm,Aquatics,Water polo,"KACIC, Horivoje",YUG,Men,Water Polo,Silver
9002,1956,Melbourne / Stockholm,Aquatics,Water polo,"KOVACIC, Zdravko",YUG,Men,Water Polo,Silver
9003,1956,Melbourne / Stockholm,Aquatics,Water polo,"RADONIC, Lovro",YUG,Men,Water Polo,Silver
9004,1956,Melbourne / Stockholm,Aquatics,Water polo,"ZUZEJ, Marjan",YUG,Men,Water Polo,Silver
9005,1956,Melbourne / Stockholm,Athletics,Athletics,"LAWRENCE, Allan",AUS,Men,10000M,Bronze
9006,1956,Melbourne / Stockholm,Athletics,Athletics,"KUTS, Vladimir",URS,Men,10000M,Gold
9007,1956,Melbourne / Stockholm,Athletics,Athletics,"KOVACS, Jozsef",HUN,Men,10000M,Silver
9008,1956,Melbourne / Stockholm,Athletics,Athletics,"HOGAN, Hector",AUS,Men,100M,Bronze
9009,1956,Melbourne / Stockholm,Athletics,Athletics,"MORROW, Robert Joseph",USA,Men,100M,Gold
9010,1956,Melbourne / Stockholm,Athletics,Athletics,"BAKER, Walter Thane",USA,Men,100M,Silver
9014,1956,Melbourne / Stockholm,Athletics,Athletics,"SHANKLE, Joel",USA,Men,110M Hurdles,Bronze
9015,1956,Melbourne / Stockholm,Athletics,Athletics,"CALHOUN, Lee",USA,Men,110M Hurdles,Gold
9016,1956,Melbourne / Stockholm,Athletics,Athletics,"DAVIS, Jack",USA,Men,110M Hurdles,Silver
9017,1956,Melbourne / Stockholm,Athletics,Athletics,"LANDY, John",AUS,Men,1500M,Bronze
9018,1956,Melbourne / Stockholm,Athletics,Athletics,"DELANY, Ronald Michael",IRL,Men,1500M,Gold
9019,1956,Melbourne / Stockholm,Athletics,Athletics,"RICHTZENHAIN, Klaus",EUA,Men,1500M,Silver
9020,1956,Melbourne / Stockholm,Athletics,Athletics,"BAKER, Walter Thane",USA,Men,200M,Bronze
9021,1956,Melbourne / Stockholm,Athletics,Athletics,"MORROW, Robert Joseph",USA,Men,200M,Gold
9022,1956,Melbourne / Stockholm,Athletics,Athletics,"STANFIELD, Andrew William",USA,Men,200M,Silver
9026,1956,Melbourne / Stockholm,Athletics,Athletics,"JUNK, Bruno",URS,Men,20KM Walk,Bronze
9027,1956,Melbourne / Stockholm,Athletics,Athletics,"SPIRIN, Leonid",URS,Men,20KM Walk,Gold
9028,1956,Melbourne / Stockholm,Athletics,Athletics,"MIKENAS, Antanas",URS,Men,20KM Walk,Silver
9029,1956,Melbourne / Stockholm,Athletics,Athletics,"LARSEN, Ernst",NOR,Men,3000M Steeplechase,Bronze
9030,1956,Melbourne / Stockholm,Athletics,Athletics,"BRASHER, Christopher William",GBR,Men,3000M Steeplechase,Gold
9031,1956,Melbourne / Stockholm,Athletics,Athletics,"ROZSNYOI, Sandor",HUN,Men,3000M Steeplechase,Silver
9032,1956,Melbourne / Stockholm,Athletics,Athletics,"HELLSTEN, Voitto Valdemar",FIN,Men,400M,Bronze
9033,1956,Melbourne / Stockholm,Athletics,Athletics,"IGNATYEV, Ardalion",URS,Men,400M,Bronze
9034,1956,Melbourne / Stockholm,Athletics,Athletics,"JENKINS, Charles Lamont",USA,Men,400M,Gold
9035,1956,Melbourne / Stockholm,Athletics,Athletics,"HAAS, Karl-Friedrich",EUA,Men,400M,Silver
9036,1956,Melbourne / Stockholm,Athletics,Athletics,"CULBREATH, Joshua",USA,Men,400M Hurdles,Bronze
9037,1956,Melbourne / Stockholm,Athletics,Athletics,"DAVIS, Glenn Ashby",USA,Men,400M Hurdles,Gold
9038,1956,Melbourne / Stockholm,Athletics,Athletics,"SOUTHERN, Silas Edward",USA,Men,400M Hurdles,Silver
9039,1956,Melbourne / Stockholm,Athletics,Athletics,"FÜTTERER, Heinz",EUA,Men,4X100M Relay,Bronze
9040,1956,Melbourne / Stockholm,Athletics,Athletics,"GERMAR, Manfred",EUA,Men,4X100M Relay,Bronze
9041,1956,Melbourne / Stockholm,Athletics,Athletics,"KNÖRZER, Lothar",EUA,Men,4X100M Relay,Bronze
9042,1956,Melbourne / Stockholm,Athletics,Athletics,"POHL, Leonard (Leo)",EUA,Men,4X100M Relay,Bronze
9043,1956,Melbourne / Stockholm,Athletics,Athletics,"BAKER, Walter Thane",USA,Men,4X100M Relay,Gold
9044,1956,Melbourne / Stockholm,Athletics,Athletics,"KING, Leamon",USA,Men,4X100M Relay,Gold
9045,1956,Melbourne / Stockholm,Athletics,Athletics,"MORROW, Robert Joseph",USA,Men,4X100M Relay,Gold
9046,1956,Melbourne / Stockholm,Athletics,Athletics,"MURCHISON, Ira James",USA,Men,4X100M Relay,Gold
9047,1956,Melbourne / Stockholm,Athletics,Athletics,"BARTENEV, Leonid",URS,Men,4X100M Relay,Silver
9048,1956,Melbourne / Stockholm,Athletics,Athletics,"KONOVALOV, Yuri",URS,Men,4X100M Relay,Silver
9049,1956,Melbourne / Stockholm,Athletics,Athletics,"SUKHAREV, Vladimir",URS,Men,4X100M Relay,Silver
9050,1956,Melbourne / Stockholm,Athletics,Athletics,"TOKAREV, Boris",URS,Men,4X100M Relay,Silver
9063,1956,Melbourne / Stockholm,Athletics,Athletics,"HIGGINS, Francis Peter",GBR,Men,4X400M Relay,Bronze
9064,1956,Melbourne / Stockholm,Athletics,Athletics,"JOHNSON, Derek James Neville",GBR,Men,4X400M Relay,Bronze
9065,1956,Melbourne / Stockholm,Athletics,Athletics,"SALISBURY, John Edward",GBR,Men,4X400M Relay,Bronze
9066,1956,Melbourne / Stockholm,Athletics,Athletics,"WHEELER, Michael Keith Valentine",GBR,Men,4X400M Relay,Bronze
9067,1956,Melbourne / Stockholm,Athletics,Athletics,"COURTNEY, Thomas William",USA,Men,4X400M Relay,Gold
9068,1956,Melbourne / Stockholm,Athletics,Athletics,"JENKINS, Charles Lamont",USA,Men,4X400M Relay,Gold
9069,1956,Melbourne / Stockholm,Athletics,Athletics,"JONES, Louis Woodard III",USA,Men,4X400M Relay,Gold
9070,1956,Melbourne / Stockholm,Athletics,Athletics,"MASHBURN, Jesse William",USA,Men,4X400M Relay,Gold
9071,1956,Melbourne / Stockholm,Athletics,Athletics,"GIPSON, Graham Chater",AUS,Men,4X400M Relay,Silver
9072,1956,Melbourne / Stockholm,Athletics,Athletics,"GOSPER, Richard Kevan",AUS,Men,4X400M Relay,Silver
9073,1956,Melbourne / Stockholm,Athletics,Athletics,"GREGORY, Leonard Stuart",AUS,Men,4X400M Relay,Silver
9074,1956,Melbourne / Stockholm,Athletics,Athletics,"LEAN, David Francis",AUS,Men,4X400M Relay,Silver
9075,1956,Melbourne / Stockholm,Athletics,Athletics,"IBBOTSON, George Derek",GBR,Men,5000M,Bronze
9076,1956,Melbourne / Stockholm,Athletics,Athletics,"KUTS, Vladimir",URS,Men,5000M,Gold
9077,1956,Melbourne / Stockholm,Athletics,Athletics,"PIRIE, Douglas A.Gordon",GBR,Men,5000M,Silver
9078,1956,Melbourne / Stockholm,Athletics,Athletics,"LJUNGGREN, John Artur",SWE,Men,50KM Walk,Bronze
9079,1956,Melbourne / Stockholm,Athletics,Athletics,"READ, Norman Richard",NZL,Men,50KM Walk,Gold
9080,1956,Melbourne / Stockholm,Athletics,Athletics,"MASKINSKOV, Yevgeni",URS,Men,50KM Walk,Silver
9081,1956,Melbourne / Stockholm,Athletics,Athletics,"BOYSEN, Audun",NOR,Men,800M,Bronze
9082,1956,Melbourne / Stockholm,Athletics,Athletics,"COURTNEY, Thomas William",USA,Men,800M,Gold
9083,1956,Melbourne / Stockholm,Athletics,Athletics,"JOHNSON, Derek James Neville",GBR,Men,800M,Silver
9087,1956,Melbourne / Stockholm,Athletics,Athletics,"KUZNETSOV, Vasili",URS,Men,Decathlon,Bronze
9088,1956,Melbourne / Stockholm,Athletics,Athletics,"CAMPBELL, Milton Gray",USA,Men,Decathlon,Gold
9089,1956,Melbourne / Stockholm,Athletics,Athletics,"JOHNSON, Rafer Lewis",USA,Men,Decathlon,Silver
9090,1956,Melbourne / Stockholm,Athletics,Athletics,"KOCH, Desmond Dalworth",USA,Men,Discus Throw,Bronze
9091,1956,Melbourne / Stockholm,Athletics,Athletics,"OERTER, Alfred",USA,Men,Discus Throw,Gold
9092,1956,Melbourne / Stockholm,Athletics,Athletics,"GORDIEN, Fortune Edward",USA,Men,Discus Throw,Silver
9096,1956,Melbourne / Stockholm,Athletics,Athletics,"SAMOTSVETOV, Anatoli",URS,Men,Hammer Throw,Bronze
9097,1956,Melbourne / Stockholm,Athletics,Athletics,"CONNOLLY, Harold Vincent",USA,Men,Hammer Throw,Gold
9098,1956,Melbourne / Stockholm,Athletics,Athletics,"KRIVONOSOV, Mikhail",URS,Men,Hammer Throw,Silver
9099,1956,Melbourne / Stockholm,Athletics,Athletics,"KASHKAROV, Igor",URS,Men,High Jump,Bronze
9100,1956,Melbourne / Stockholm,Athletics,Athletics,"DUMAS, Charles Everett",USA,Men,High Jump,Gold
9101,1956,Melbourne / Stockholm,Athletics,Athletics,"PORTER, Charles Michael",AUS,Men,High Jump,Silver
9105,1956,Melbourne / Stockholm,Athletics,Athletics,"TSYBULENKO, Viktor",URS,Men,Javelin Throw,Bronze
9106,1956,Melbourne / Stockholm,Athletics,Athletics,"DANIELSEN, Egil",NOR,Men,Javelin Throw,Gold
9107,1956,Melbourne / Stockholm,Athletics,Athletics,"SIDLO, Janusz",POL,Men,Javelin Throw,Silver
9111,1956,Melbourne / Stockholm,Athletics,Athletics,"VALKAMA, Jorma Rainer",FIN,Men,Long Jump,Bronze
9112,1956,Melbourne / Stockholm,Athletics,Athletics,"BELL, Gregory Curtis",USA,Men,Long Jump,Gold
9113,1956,Melbourne / Stockholm,Athletics,Athletics,"BENNETT, John Dale",USA,Men,Long Jump,Silver
9117,1956,Melbourne / Stockholm,Athletics,Athletics,"KARVONEN, Veikko Leo",FIN,Men,Marathon,Bronze
9118,1956,Melbourne / Stockholm,Athletics,Athletics,"MIMOUN, Alain",FRA,Men,Marathon,Gold
9119,1956,Melbourne / Stockholm,Athletics,Athletics,"MIHALIC, Franjo",YUG,Men,Marathon,Silver
9120,1956,Melbourne / Stockholm,Athletics,Athletics,"ROUBANIS, Georgios",GRE,Men,Pole Vault,Bronze
9121,1956,Melbourne / Stockholm,Athletics,Athletics,"RICHARDS, Robert",USA,Men,Pole Vault,Gold
9122,1956,Melbourne / Stockholm,Athletics,Athletics,"GUTOWSKI, Robert Allen",USA,Men,Pole Vault,Silver
9123,1956,Melbourne / Stockholm,Athletics,Athletics,"SKOBLA, Jiri",TCH,Men,Shot Put,Bronze
9124,1956,Melbourne / Stockholm,Athletics,Athletics,"O, William Patrick Jr.",USA,Men,Shot Put,Gold
9125,1956,Melbourne / Stockholm,Athletics,Athletics,"NIEDER, William Henry",USA,Men,Shot Put,Silver
9129,1956,Melbourne / Stockholm,Athletics,Athletics,"KREER, Vitold",URS,Men,Triple Jump,Bronze
9130,1956,Melbourne / Stockholm,Athletics,Athletics,"FERREIRA DA SILVA, Adhemar",BRA,Men,Triple Jump,Gold
9131,1956,Melbourne / Stockholm,Athletics,Athletics,"EINARSSON, Vilhjalmur",ISL,Men,Triple Jump,Silver
9132,1956,Melbourne / Stockholm,Basketball,Basketball,"BLIXEN, Carlos S.",URU,Men,Basketball,Bronze
9133,1956,Melbourne / Stockholm,Basketball,Basketball,"CHELLE, Nelson R.",URU,Men,Basketball,Bronze
9134,1956,Melbourne / Stockholm,Basketball,Basketball,"CORTES, Ramiro",URU,Men,Basketball,Bronze
9135,1956,Melbourne / Stockholm,Basketball,Basketball,"COSTA, Hector J.",URU,Men,Basketball,Bronze
9136,1956,Melbourne / Stockholm,Basketball,Basketball,"DEMARCO, Nelson",URU,Men,Basketball,Bronze
9137,1956,Melbourne / Stockholm,Basketball,Basketball,"GARCIA OTERO, Hector",URU,Men,Basketball,Bronze
9138,1956,Melbourne / Stockholm,Basketball,Basketball,"GONZALEZ, Carlos",URU,Men,Basketball,Bronze
9139,1956,Melbourne / Stockholm,Basketball,Basketball,"MATTO, Sergio A.",URU,Men,Basketball,Bronze
9140,1956,Melbourne / Stockholm,Basketball,Basketball,"MERA, Raul E.",URU,Men,Basketball,Bronze
9141,1956,Melbourne / Stockholm,Basketball,Basketball,"MOGLIA, Oscar",URU,Men,Basketball,Bronze
9142,1956,Melbourne / Stockholm,Basketball,Basketball,"OLASCOAGA, Ariel",URU,Men,Basketball,Bronze
9143,1956,Melbourne / Stockholm,Basketball,Basketball,"SCARON, Milton A.",URU,Men,Basketball,Bronze
9144,1956,Melbourne / Stockholm,Basketball,Basketball,"BOUSHKA, Richard James",USA,Men,Basketball,Gold
9145,1956,Melbourne / Stockholm,Basketball,Basketball,"CAIN, Carl Cecil",USA,Men,Basketball,Gold
9146,1956,Melbourne / Stockholm,Basketball,Basketball,"DARLING, Charles Frick",USA,Men,Basketball,Gold
9147,1956,Melbourne / Stockholm,Basketball,Basketball,"EVANS, William Best",USA,Men,Basketball,Gold
9148,1956,Melbourne / Stockholm,Basketball,Basketball,"FORD, Gilbert",USA,Men,Basketball,Gold
9149,1956,Melbourne / Stockholm,Basketball,Basketball,"HALDORSSON, Burdette Eliele",USA,Men,Basketball,Gold
9150,1956,Melbourne / Stockholm,Basketball,Basketball,"HOUGLAND, William Marion",USA,Men,Basketball,Gold
9151,1956,Melbourne / Stockholm,Basketball,Basketball,"JEANGERARD, Robert Eugene",USA,Men,Basketball,Gold
9152,1956,Melbourne / Stockholm,Basketball,Basketball,"JONES, Kenneth C.",USA,Men,Basketball,Gold
9153,1956,Melbourne / Stockholm,Basketball,Basketball,"RUSSELL, William Fenton",USA,Men,Basketball,Gold
9154,1956,Melbourne / Stockholm,Basketball,Basketball,"TOMSIC, Ronald Paul",USA,Men,Basketball,Gold
9155,1956,Melbourne / Stockholm,Basketball,Basketball,"WALSH, James Patrick",USA,Men,Basketball,Gold
9156,1956,Melbourne / Stockholm,Basketball,Basketball,"BOCHKAREV, Arkadi",URS,Men,Basketball,Silver
9157,1956,Melbourne / Stockholm,Basketball,Basketball,"KRUMINS, Yanis",URS,Men,Basketball,Silver
9158,1956,Melbourne / Stockholm,Basketball,Basketball,"LAURITENAS, Algirdas",URS,Men,Basketball,Silver
9159,1956,Melbourne / Stockholm,Basketball,Basketball,"MUIZHNIEK, Valdis",URS,Men,Basketball,Silver
9160,1956,Melbourne / Stockholm,Basketball,Basketball,"OZEROV, Yuri",URS,Men,Basketball,Silver
9161,1956,Melbourne / Stockholm,Basketball,Basketball,"PETKYAVICHUS, Kasis",URS,Men,Basketball,Silver
9162,1956,Melbourne / Stockholm,Basketball,Basketball,"SEMYONOV, Mikhail",URS,Men,Basketball,Silver
9163,1956,Melbourne / Stockholm,Basketball,Basketball,"STONKUS, Stasis",URS,Men,Basketball,Silver
9164,1956,Melbourne / Stockholm,Basketball,Basketball,"STUDENETSKY, Mikhail",URS,Men,Basketball,Silver
9165,1956,Melbourne / Stockholm,Basketball,Basketball,"TORBAN, Vladimir",URS,Men,Basketball,Silver
9166,1956,Melbourne / Stockholm,Basketball,Basketball,"VALDMANIS, Maigonis",URS,Men,Basketball,Silver
9167,1956,Melbourne / Stockholm,Basketball,Basketball,"ZUBKOV, Viktor",URS,Men,Basketball,Silver
9168,1956,Melbourne / Stockholm,Boxing,Boxing,"CALDWELL, John",IRL,Men,- 51KG (Flyweight),Bronze
9169,1956,Melbourne / Stockholm,Boxing,Boxing,"LIBEER, Rene",FRA,Men,- 51KG (Flyweight),Bronze
9170,1956,Melbourne / Stockholm,Boxing,Boxing,"SPINKS, Terence George",GBR,Men,- 51KG (Flyweight),Gold
9171,1956,Melbourne / Stockholm,Boxing,Boxing,"DOBRESCU, Mircea",ROU,Men,- 51KG (Flyweight),Silver
9172,1956,Melbourne / Stockholm,Boxing,Boxing,"BEKKER, Daniel Wepener",RSA,Men,+ 81KG (Heavyweight),Bronze
9173,1956,Melbourne / Stockholm,Boxing,Boxing,"BOZZANO, Giacomo",ITA,Men,+ 81KG (Heavyweight),Bronze
9174,1956,Melbourne / Stockholm,Boxing,Boxing,"RADEMACHER, Thomas Peter",USA,Men,+ 81KG (Heavyweight),Gold
9175,1956,Melbourne / Stockholm,Boxing,Boxing,"MUKHIN, Lev",URS,Men,+ 81KG (Heavyweight),Silver
9176,1956,Melbourne / Stockholm,Boxing,Boxing,"BARRIENTOS, Claudio",CHI,Men,51 - 54KG (Bantamweight),Bronze
9177,1956,Melbourne / Stockholm,Boxing,Boxing,"GILROY, Frederick",IRL,Men,51 - 54KG (Bantamweight),Bronze
9178,1956,Melbourne / Stockholm,Boxing,Boxing,"BEHRENDT, Wolfgang",EUA,Men,51 - 54KG (Bantamweight),Gold
9179,1956,Melbourne / Stockholm,Boxing,Boxing,"SONG, Soon-Chun",KOR,Men,51 - 54KG (Bantamweight),Silver
9180,1956,Melbourne / Stockholm,Boxing,Boxing,"HÄMÄLÄINEN, Pentti Olavi",FIN,Men,54 - 57KG (Featherweight),Bronze
9181,1956,Melbourne / Stockholm,Boxing,Boxing,"NIEDZWIEDZKI, Henryk",POL,Men,54 - 57KG (Featherweight),Bronze
9182,1956,Melbourne / Stockholm,Boxing,Boxing,"SAFRONOV, Vladimir",URS,Men,54 - 57KG (Featherweight),Gold
9183,1956,Melbourne / Stockholm,Boxing,Boxing,"NICHOLLS, Thomas G.",GBR,Men,54 - 57KG (Featherweight),Silver
9184,1956,Melbourne / Stockholm,Boxing,Boxing,"BYRNE, Anthony",IRL,Men,57 - 60KG (Lightweight),Bronze
9185,1956,Melbourne / Stockholm,Boxing,Boxing,"LAGETKO, Anatoli",URS,Men,57 - 60KG (Lightweight),Bronze
9186,1956,Melbourne / Stockholm,Boxing,Boxing,"MCTAGGART, Richard",GBR,Men,57 - 60KG (Lightweight),Gold
9187,1956,Melbourne / Stockholm,Boxing,Boxing,"KURSCHAT, Harry",EUA,Men,57 - 60KG (Lightweight),Silver
9188,1956,Melbourne / Stockholm,Boxing,Boxing,"DUMITRESCU, Constantin",ROU,Men,60 - 63.5KG (Light-Welterweight),Bronze
9189,1956,Melbourne / Stockholm,Boxing,Boxing,"LOUBSCHER, Henry James",RSA,Men,60 - 63.5KG (Light-Welterweight),Bronze
9190,1956,Melbourne / Stockholm,Boxing,Boxing,"ENGIBARYAN, Vladimir",URS,Men,60 - 63.5KG (Light-Welterweight),Gold
9191,1956,Melbourne / Stockholm,Boxing,Boxing,"NENCI, Franco",ITA,Men,60 - 63.5KG (Light-Welterweight),Silver
9192,1956,Melbourne / Stockholm,Boxing,Boxing,"GARGANO, Nicholas",GBR,Men,63.5 - 67KG (Welterweight),Bronze
9193,1956,Melbourne / Stockholm,Boxing,Boxing,"HOGARTH, Kevin John",AUS,Men,63.5 - 67KG (Welterweight),Bronze
9194,1956,Melbourne / Stockholm,Boxing,Boxing,"LINCA, Nicolae",ROU,Men,63.5 - 67KG (Welterweight),Gold
9195,1956,Melbourne / Stockholm,Boxing,Boxing,"TIEDT, Fred",IRL,Men,63.5 - 67KG (Welterweight),Silver
9196,1956,Melbourne / Stockholm,Boxing,Boxing,"MCCORMACK, John",GBR,Men,67 - 71KG (Light-Middleweight),Bronze
9197,1956,Melbourne / Stockholm,Boxing,Boxing,"PIETRZYKOWSKI, Zbigniew",POL,Men,67 - 71KG (Light-Middleweight),Bronze
9198,1956,Melbourne / Stockholm,Boxing,Boxing,"PAPP, Laszlo",HUN,Men,67 - 71KG (Light-Middleweight),Gold
9199,1956,Melbourne / Stockholm,Boxing,Boxing,"TORRES, Jose Louis Chegui",USA,Men,67 - 71KG (Light-Middleweight),Silver
9200,1956,Melbourne / Stockholm,Boxing,Boxing,"CHAPRON, Gilbert",FRA,Men,71-75KG,Bronze
9201,1956,Melbourne / Stockholm,Boxing,Boxing,"ZALAZAR, Victor",ARG,Men,71-75KG,Bronze
9202,1956,Melbourne / Stockholm,Boxing,Boxing,"SHATKOV, Gennadi",URS,Men,71-75KG,Gold
9203,1956,Melbourne / Stockholm,Boxing,Boxing,"TAPIA, Ramon",CHI,Men,71-75KG,Silver
9204,1956,Melbourne / Stockholm,Boxing,Boxing,"LUCAS, Carlos",CHI,Men,75 - 81KG (Light-Heavyweight),Bronze
9205,1956,Melbourne / Stockholm,Boxing,Boxing,"MURAUSKAS, Romualdas",URS,Men,75 - 81KG (Light-Heavyweight),Bronze
9206,1956,Melbourne / Stockholm,Boxing,Boxing,"BOYD, James Felton",USA,Men,75 - 81KG (Light-Heavyweight),Gold
9207,1956,Melbourne / Stockholm,Boxing,Boxing,"NEGREA, Gheorghe",ROU,Men,75 - 81KG (Light-Heavyweight),Silver
9208,1956,Melbourne / Stockholm,Canoe / Kayak,Canoe / Kayak F,"BUKHARIN, Gennady",URS,Men,C-1 10000M,Bronze
9209,1956,Melbourne / Stockholm,Canoe / Kayak,Canoe / Kayak F,"ROTMAN, Leon",ROU,Men,C-1 10000M,Gold
9210,1956,Melbourne / Stockholm,Canoe / Kayak,Canoe / Kayak F,"PARTI, Janos",HUN,Men,C-1 10000M,Silver
9211,1956,Melbourne / Stockholm,Canoe / Kayak,Canoe / Kayak F,"BUKHARIN, Gennady",URS,Men,C-1 1000M (Canoe Single),Bronze
9212,1956,Melbourne / Stockholm,Canoe / Kayak,Canoe / Kayak F,"ROTMAN, Leon",ROU,Men,C-1 1000M (Canoe Single),Gold
9213,1956,Melbourne / Stockholm,Canoe / Kayak,Canoe / Kayak F,"HERNEK, Istvan",HUN,Men,C-1 1000M (Canoe Single),Silver
